term,fresh freq,plot freq,rotten freq,fresh rank,rotten rank,sum freq,z score
sexpot,0,0,1,2924,7254,1,-0.34050660009547934
paperbacks,0,0,1,2925,7255,1,-0.6081432085936453
warriors,1,0,2,7380,10770,3,-0.5015859138130488
ignored,2,0,1,10642,7256,3,0.435537093241208
troll,0,0,1,2926,7257,1,-0.751116618944383
stereotype,1,0,2,7381,10771,3,-0.5794885452173897
omitted,0,0,1,2927,7258,1,-0.6938230632482459
unsaid,0,0,1,2928,7259,1,-0.5252271678711872
cart,0,0,1,2929,7260,1,-0.17572947995695534
apple,0,0,1,2930,7261,1,-0.29580022682180535
upset,0,0,1,2931,7262,1,-0.6607171821946157
overshadows,0,0,1,2932,7263,1,-0.4270865194270698
supposed,0,0,12,2933,13023,12,-2.596714618740752
conceived,0,0,3,2934,11679,3,-1.27704931071381
ill,0,0,6,2935,12555,6,-1.8094104127980588
astonishing,0,0,1,2936,7264,1,-0.7549263751233981
badness,0,0,3,2937,11680,3,-1.069158932797901
awfulness,0,0,2,2938,10772,2,-0.4253307125381473
summary,1,0,1,7382,7265,2,-0.008225074734212611
perfervid,0,0,1,2939,7266,1,
warfare,1,0,1,7383,7267,2,-0.02055502514904963
ces,0,0,1,2940,7268,1,-0.702451925238546
juliet,0,0,1,2941,7269,1,-0.7507895550606142
romeo,0,0,1,2942,7270,1,-0.6755113473994944
treads,1,0,2,7384,10773,3,-0.5895041692803272
reputations,0,0,1,2943,7271,1,-0.6745499122185282
inflict,0,0,1,2944,7272,1,-0.7078965443080949
fisticuffs,1,0,1,7385,7273,2,-0.025434552131063545
rumbles,0,0,1,2945,7274,1,-0.5850832193650767
modem,0,0,1,2946,7275,1,-0.4798663976573941
streamed,0,0,1,2947,7276,1,-0.6832260207944354
smoke,1,0,1,7386,7277,2,-0.015317298487703983
cigarette,0,0,1,2948,7278,1,-0.6273700866664966
melodramatic,3,0,5,11555,12367,8,-0.7468182747640193
circa,0,0,1,2949,7279,1,-0.7178914537606748
paean,0,0,2,2950,10774,2,-0.5096705164235836
preposterously,0,0,1,2951,7280,1,-0.29759802831795645
flagrantly,0,0,1,2952,7281,1,-0.42578721455130286
thunderstorms,0,0,1,2953,7282,1,-0.753686120304362
capacity,1,0,2,7387,10775,3,-0.2874020080030032
churns,0,0,1,2954,7283,1,-0.4666524574721816
insecure,0,0,1,2955,7284,1,-0.7549168093451315
fake,3,0,2,11556,10776,5,0.33916878142369555
excite,1,0,1,7388,7285,2,-0.021836894377755496
editing,1,0,6,7389,12556,7,-1.480311895076245
homo,1,0,1,7390,7286,2,-0.021297494857760734
brainless,0,0,2,2956,10777,2,-0.6000797556094264
borders,1,0,2,7391,10778,3,-0.47156571462176605
fifties,0,0,1,2957,7287,1,-0.7193296428175205
eroticism,0,0,1,2958,7288,1,-0.5652569513707445
enjoyably,3,0,1,11557,7289,4,0.9193552292575049
machismo,2,0,3,10643,11681,5,-0.4826604099640558
farewell,0,0,1,2959,7290,1,-0.7305192218813246
shoplifts,0,0,1,2960,7291,1,
cribbing,0,0,1,2961,7292,1,-0.37684473264518104
wanderers,0,0,1,2962,7293,1,-0.7327464373736756
encyclopedia,0,0,1,2963,7294,1,-0.3993151867534311
gathering,0,0,1,2964,7295,1,-0.5474234772380183
mgm,0,0,2,2965,10779,2,-1.0651521920354967
dust,1,0,1,7392,7296,2,-0.01580501882361008
propelled,0,0,1,2966,7297,1,-0.747462212144918
caricatures,0,0,1,2967,7298,1,-0.6884433985071402
gangs,10,0,3,12897,11682,13,1.7559495253722235
abundant,0,0,1,2968,7299,1,-0.7188378281266028
empty,1,0,7,7393,12690,8,-1.6030308455526885
woefully,0,0,1,2969,7300,1,-0.6102557876429195
turf,0,0,1,2970,7301,1,-0.7275935331610286
hue,1,0,0,7394,3334,1,0.7310358426423886
drastic,1,0,0,7395,3335,1,0.7281385098880042
iconography,1,0,0,7396,3336,1,0.5965796661449058
greatness,3,0,0,11558,3337,3,1.1535493153212109
suck,3,0,0,11559,3338,3,1.0261537030691676
stamina,2,0,1,10644,7302,3,0.5117714713513712
outing,2,0,1,10645,7303,3,0.5088705526546525
joyless,0,0,4,2971,12115,4,-0.5015000154312113
passably,0,0,2,2972,10780,2,-0.31733961154285134
brosnan,9,0,2,12829,10781,11,1.872775830430914
edgiest,1,0,0,7397,3339,1,
meanest,2,0,0,10646,3340,2,0.655395740525611
fastest,1,0,0,7398,3341,1,0.5736655717925963
dilutes,1,0,1,7399,7304,2,-0.02540852451005371
shortage,1,0,0,7400,3342,1,0.6828542469262274
thunderous,1,0,0,7401,3343,1,0.5585572782112919
cadences,1,0,0,7402,3344,1,0.4349566848889744
potency,1,0,1,7403,7305,2,-0.023943383050809564
megalomaniac,1,0,0,7404,3345,1,0.42920205570378983
bent,1,0,0,7405,3346,1,0.6507874553651789
sieve,1,0,0,7406,3347,1,0.7092800875692831
suspension,1,0,1,7407,7306,2,-0.01648555798303164
raising,1,0,2,7408,10782,3,-0.43447813212845454
superfluousepilogue,1,0,0,7409,3348,1,
feral,2,0,0,10647,3349,2,0.9211647486857388
halle,1,0,0,7410,3350,1,0.7315500909335992
emerges,3,0,3,11560,11683,6,-0.04288040391301733
bonds,3,0,0,11561,3351,3,1.1238609038830836
fleming,0,0,2,2973,10783,2,-1.0656199473200718
overused,1,0,1,7411,7307,2,-0.025189429236782336
cocktail,1,0,2,7412,10784,3,-0.5157675718860173
garnish,0,0,1,2974,7308,1,-0.7194658775312904
olives,0,0,1,2975,7309,1,-0.7528723492499376
bunch,2,0,3,10648,11684,5,-0.4043344421237739
bodied,1,0,0,7413,3352,1,0.7249852028826962
aging,1,0,0,7414,3353,1,0.5127821110908617
respectful,2,0,1,10649,7310,3,0.5095744116309041
phenomenon,1,0,0,7415,3354,1,0.6260508131786011
thrilling,7,0,3,12633,11685,10,1.1605408395749246
reinvented,1,0,0,7416,3355,1,0.5892782043142878
abundantly,1,0,0,7417,3356,1,0.6690973022799871
serie,1,0,0,7418,3357,1,0.728730894901524
duda,1,0,0,7419,3358,1,0.5690210829133724
entretiene,1,0,0,7420,3359,1,
cinta,1,0,1,7421,7311,2,-0.025338447029410457
mejor,3,0,0,11562,3360,3,1.044782955374373
cabeza,1,0,0,7422,3361,1,0.5222238635198988
cabe,1,0,0,7423,3362,1,0.511949914045434
outings,1,0,0,7424,3363,1,0.7208213286018655
reliance,1,0,2,7425,10785,3,-0.5034058175346905
creep,2,0,0,10650,3364,2,1.0087478023471037
cgi,4,0,3,12021,11686,7,0.29248720023069297
cartoonlike,1,0,0,7426,3365,1,
tunnel,0,0,2,2976,10786,2,-0.9804366589281628
drawings,1,0,1,7427,7312,2,-0.017738981739688776
cartoons,2,0,3,10651,11687,5,-0.3793752635488987
rudimentary,1,0,1,7428,7313,2,-0.024772525199734812
gilliam,1,0,0,7429,3366,1,0.6719164914484056
python,2,0,0,10652,3367,2,0.8006634615610649
photographs,1,0,0,7430,3368,1,0.42666452278562816
monty,3,0,0,11563,3369,3,1.2359648291111016
deriding,0,0,1,2977,7314,1,-0.33461096205566593
doddering,0,0,1,2978,7315,1,-0.27888146842236383
misogynistic,0,0,1,2979,7316,1,-0.4104379737196786
pantheon,1,0,3,7431,11688,4,-0.9671570933350793
aficionados,3,0,1,11564,7317,4,0.9145377490132074
anniversary,1,0,0,7432,3370,1,0.4358994352043823
offs,1,0,0,7433,3371,1,0.717687701788101
winding,0,0,1,2980,7318,1,-0.739816651495197
temerity,0,0,1,2981,7319,1,-0.4449227028025888
stupefying,0,0,2,2982,10787,2,-0.3772259539484036
toilet,0,0,3,2983,11689,3,-1.2562360835156634
bangs,1,0,1,7434,7320,2,-0.024063378795207754
flashes,2,0,1,10653,7321,3,0.4998136596675366
feed,0,0,2,2984,10788,2,-0.51721334851297
endured,0,0,1,2985,7322,1,-0.7457503387841999
racing,1,0,1,7435,7323,2,-0.011568998306519437
workout,0,0,1,2986,7324,1,-0.6619561955448648
stench,0,0,1,2987,7325,1,-0.6840133957551285
grew,2,0,2,10654,10789,4,-0.02876602415706881
sucker,1,0,2,7436,10790,3,-0.5683219071599485
charms,1,0,3,7437,11690,4,-0.8740552477869084
glamour,0,0,1,2988,7326,1,-0.7261358947361036
clamor,0,0,1,2989,7327,1,-0.5763163257270345
punishment,0,0,2,2990,10791,2,-1.0084896925441393
paying,0,0,2,2991,10792,2,-0.8024062633503256
demonstrates,3,0,1,11565,7328,4,0.8198453507237167
goodman,1,0,0,7438,3372,1,0.6924952085150959
aussie,0,0,1,2992,7329,1,-0.7183496929723304
ritchie,0,0,6,2993,12557,6,-1.4936485782180395
caesar,2,0,1,10655,7330,3,0.4890145293335014
channels,1,0,1,7439,7331,2,-0.013620524121548822
pleasures,4,0,1,12022,7332,5,1.1664503869070064
clashing,1,0,0,7440,3373,1,0.578303863714969
pizza,1,0,0,7441,3374,1,0.4768710068385117
flavour,1,0,0,7442,3375,1,0.729751943261939
ladles,1,0,0,7443,3376,1,0.4662039497998146
assurance,3,0,0,11566,3377,3,1.1787449289050147
tool,1,0,0,7444,3378,1,0.25413270023302936
stepped,1,0,0,7445,3379,1,0.6762807639029247
acclaim,1,0,0,7446,3380,1,0.7308775217016721
juiced,1,0,0,7447,3381,1,0.5973903034711959
khouri,2,0,1,10656,7333,3,0.5353906062394151
callie,0,0,1,2994,7334,1,-0.6262133144704642
arthritic,0,0,1,2995,7335,1,-0.5858897210182133
automobile,1,0,0,7448,3382,1,0.5290637526777434
sputters,1,0,0,7449,3383,1,0.32174397689242756
crack,1,0,0,7450,3384,1,0.4562339397710088
gasp,3,0,1,11567,7336,4,0.9002214101395843
maggie,4,0,1,12023,7337,5,1.141197684398915
deportment,1,0,0,7451,3385,1,0.43812253360648834
divine,6,0,2,12492,10793,8,1.185255048994036
defiantly,3,0,0,11568,3386,3,0.7962017468910427
mocking,1,0,0,7452,3387,1,0.6859513708254915
adored,1,0,0,7453,3388,1,0.6687441837184562
oprah,0,0,1,2996,7338,1,-0.7400204330033743
chicken,1,0,1,7454,7339,2,-0.014235687492811346
lotta,0,0,1,2997,7340,1,-0.7032106385815924
fried,0,0,1,2998,7341,1,-0.6928425231683317
yell,1,0,0,7455,3389,1,0.7315179789277558
translating,1,0,0,7456,3390,1,0.7308551219858337
essence,3,0,2,11569,10794,5,0.35420987650765356
novels,2,0,0,10657,3391,2,0.970814300046522
shiny,0,0,1,2999,7342,1,-0.7256844734095258
paper,1,0,6,7457,12558,7,-0.8530572595571774
wraps,0,0,1,3000,7343,1,-0.7364400611534307
recycled,0,0,3,3001,11691,3,-1.3064584818730562
bonding,0,0,1,3002,7344,1,-0.7310532771719663
dishonest,0,0,1,3003,7345,1,-0.7370839130264076
skeletons,1,0,0,7458,3392,1,0.7067682353576452
soft,3,0,3,11570,11692,6,-0.028477126894282025
tempered,1,0,0,7459,3393,1,0.7302439442596721
shrill,1,0,1,7460,7346,2,-0.02501125725393166
gentility,1,0,0,7461,3394,1,0.3619796580354278
errs,1,0,0,7462,3395,1,0.5036879757144869
treat,5,0,2,12301,10795,7,0.850377894739013
heartstrings,0,0,1,3004,7347,1,-0.4800710834639538
yas,2,0,0,10658,3396,2,0.635568916582109
redeems,2,0,0,10659,3397,2,0.5116747438663833
flashback,1,0,0,7463,3398,1,0.7263925861234938
flaunts,0,0,1,3005,7348,1,-0.36435433043199167
excesses,0,0,2,3006,10796,2,-0.8554663933612094
fires,1,0,1,7464,7349,2,-0.019645592011088092
central,2,0,3,10660,11693,5,-0.20117231440957153
vivi,0,0,1,3007,7350,1,-0.6811828463957565
commodity,1,0,0,7465,3399,1,0.6107570615647364
fleeting,2,0,1,10661,7351,3,0.5256485284567672
backs,1,0,0,7466,3400,1,0.6580637903106309
precious,1,0,5,7467,12368,6,-1.3765844903342752
faithful,7,0,1,12634,7352,8,1.7620441427923645
presumes,1,0,0,7468,3401,1,0.5770643954895593
premises,1,0,1,7469,7353,2,-0.017825833403257024
careless,1,0,0,7470,3402,1,0.7233527676116966
seamless,1,0,0,7471,3403,1,0.6922404066389902
amongst,1,0,0,7472,3404,1,0.5892117556103893
dear,0,0,1,3008,7354,1,-0.4351040711508073
damn,1,0,6,7473,12559,7,-1.5771307931010725
everywhere,1,0,1,7474,7355,2,-0.01722187953605191
tickets,0,0,2,3009,10797,2,-0.42517222206253374
locate,0,0,1,3010,7356,1,-0.5086589506249627
legitimate,0,0,1,3011,7357,1,-0.626481760948314
plausibility,0,0,1,3012,7358,1,-0.5904504724364301
shred,0,0,1,3013,7359,1,-0.7308344148609478
dread,3,0,1,11571,7360,4,0.8895544485081454
rebecca,1,0,0,7475,3405,1,0.5890630147050135
surprised,4,0,1,12024,7361,5,1.0531853831012565
pleasantly,2,0,0,10662,3406,2,0.9522907812214002
utter,3,0,2,11572,10798,5,0.3879912669315712
wells,1,0,0,7476,3407,1,0.4851996332669426
seller,1,0,1,7477,7362,2,-0.006659188049385978
winningly,1,0,0,7478,3408,1,0.25456030916345596
assess,0,0,1,3014,7363,1,-0.522438161462985
afraid,3,0,5,11573,12369,8,-0.6625893877441293
engineering,0,0,1,3015,7364,1,-0.23107589537156853
determine,0,0,2,3016,10799,2,-0.6066737674109289
wholly,1,0,4,7479,12116,5,-1.200351318744112
histrionics,0,0,1,3017,7365,1,-0.3771782775948464
gauzy,1,0,0,7480,3409,1,0.36075152395294285
nurturing,1,0,0,7481,3410,1,0.7274336149559913
dithering,1,0,0,7482,3411,1,0.539524935120738
ploddingly,1,0,1,7483,7366,2,-0.025505838769883972
continuum,1,0,0,7484,3412,1,0.7067422340475006
farce,2,0,1,10663,7367,3,0.5240654725495967
curdling,2,0,0,10664,3413,2,0.4402411673190643
squaddie,0,0,1,3018,7368,1,
shocks,3,0,2,11574,10800,5,0.38093210274793254
woe,1,0,0,7485,3414,1,0.7208622146917939
gorefest,1,0,0,7486,3415,1,0.29519157548794545
goofily,1,0,0,7487,3416,1,
lensed,1,0,0,7488,3417,1,0.40974030301018705
opts,2,0,0,10665,3418,2,0.871245303102617
werewolf,0,0,3,3019,11694,3,-1.0966788255783153
grim,2,0,2,10666,10801,4,-0.03375708585161756
develop,1,0,2,7489,10802,3,-0.2728783618055115
fest,1,0,2,7490,10803,3,-0.5270655918013843
hairs,2,0,0,10667,3419,2,0.9692412053619944
roaring,3,0,0,11575,3420,3,1.1298117239667926
crippled,1,0,1,7491,7369,2,-0.02443819651825493
amish,0,0,1,3020,7370,1,-0.7538544823354679
guts,3,0,0,11576,3421,3,1.161516280551047
neil,3,0,0,11577,3422,3,1.1864649180841846
freight,2,0,0,10668,3423,2,0.9526475135911063
bald,1,0,0,7492,3424,1,0.6284557861249865
edited,4,0,1,12025,7371,5,0.9105995268548952
believer,0,0,1,3021,7372,1,-0.7524698211031653
rely,1,0,1,7493,7373,2,-0.018139025696635724
shockers,1,0,0,7494,3425,1,0.5510654857938222
unsubtle,1,0,0,7495,3426,1,0.30964222385591283
adrenalized,1,0,0,7496,3427,1,
gloriously,2,0,0,10669,3428,2,0.6965742792203979
fanboy,1,0,0,7497,3429,1,0.676783030656296
encountering,1,0,0,7498,3430,1,0.6903812800289035
avoiding,0,0,1,3022,7374,1,-0.671034874830843
howler,0,0,1,3023,7375,1,-0.6559713193110079
pretend,0,0,3,3024,11695,3,-1.2905318060883626
contact,1,0,1,7499,7376,2,-0.003047264771612644
produce,1,0,3,7500,11696,4,-0.6059207423508389
failing,2,0,0,10670,3431,2,0.9857590308838499
chomps,1,0,0,7501,3432,1,0.2907930562457063
energizes,1,0,0,7502,3433,1,0.47865283777540957
embraces,2,0,0,10671,3434,2,0.9426034848171005
transcend,2,0,0,10672,3435,2,1.0058432698309283
pretension,2,0,2,10673,10804,4,-0.03595183544066856
welcome,8,0,4,12744,12117,12,0.6260938874108138
shelves,1,0,1,7503,7377,2,-0.020909433810343762
gory,3,0,1,11578,7378,4,0.9109196900892691
dozen,1,0,1,7504,7379,2,-0.017831164055712063
styx,1,0,0,7505,3436,1,0.6826116440331531
float,1,0,0,7506,3437,1,0.5660859650939767
bees,1,0,0,7507,3438,1,0.7020321604635431
symbols,1,0,0,7508,3439,1,0.5026493361748473
sting,3,0,1,11579,7380,4,0.869818997932843
occupied,1,0,0,7509,3440,1,0.5593931020894122
concerns,1,0,0,7510,3441,1,0.3643407481421802
moviegoers,3,0,4,11580,12118,7,-0.4229027422695998
teamwork,1,0,0,7511,3442,1,0.7274129924846816
invokes,1,0,0,7512,3443,1,0.6920024298500372
enthusiastically,1,0,0,7513,3444,1,0.7040382028192859
percussion,2,0,0,10674,3445,2,1.0253903277232073
bands,2,0,1,10675,7381,3,0.3454144947643897
fifteen,1,0,2,7514,10805,3,-0.5010687228617783
halftime,0,0,2,3025,10806,2,-0.9607733072256373
saving,4,0,6,12026,12560,10,-0.5701225243919862
drumming,2,0,0,10676,3446,2,0.9295629498095888
reaches,1,0,1,7515,7382,2,-0.019535887383015288
heroic,2,0,1,10677,7383,3,0.5059727400241109
irreverent,1,0,0,7516,3447,1,0.6507733728211463
ably,1,0,0,7517,3448,1,0.6454351493374366
crushes,1,0,1,7518,7384,2,-0.025069533133386345
goodwill,1,0,1,7519,7385,2,-0.022204558387497967
resolutions,0,0,1,3026,7386,1,-0.6153898000539844
routines,1,0,1,7520,7387,2,-0.019863908119656423
graces,1,0,0,7521,3449,1,0.6740782548530162
cannon,1,0,1,7522,7388,2,-0.020320784753179746
iii,1,0,0,7523,3450,1,0.2685681286980842
detail,7,0,2,12635,10807,9,1.104794792345203
applies,1,0,0,7524,3451,1,0.45673660573502994
nutty,0,0,1,3027,7389,1,-0.7135897211529719
geeky,0,0,1,3028,7390,1,-0.7402718609251443
flags,1,0,0,7525,3452,1,0.47561788284275264
glory,2,0,3,10678,11697,5,-0.3887282370896085
tuneful,2,0,0,10679,3453,2,0.5320158962221283
compensating,1,0,0,7526,3454,1,0.6849568802040709
fantastically,1,0,0,7527,3455,1,0.5919912128275323
guaranteed,4,0,0,12027,3456,4,1.2056496740474383
trombone,0,0,1,3029,7391,1,-0.7542581469368869
rocky,1,0,2,7528,10808,3,-0.45796532066094753
honks,0,0,1,3030,7392,1,-0.3187330615179364
coated,0,0,1,3031,7393,1,-0.6472217626430499
manhood,1,0,0,7529,3457,1,0.6899703996803778
vulgarity,1,0,1,7530,7394,2,-0.025270196111275966
cussing,2,0,0,10680,3458,2,0.5696748963594004
drum,3,0,1,11581,7395,4,0.7190767913035637
spunk,1,0,1,7531,7396,2,-0.024970652323498533
insult,1,0,2,7532,10809,3,-0.5607688163315052
groundbreaking,1,0,1,7533,7397,2,-0.023892671973842393
dumbed,1,0,1,7534,7398,2,-0.025345772144478987
ka,1,0,0,7535,3459,1,0.6091477211395855
variation,2,0,2,10681,10810,4,-0.02859853542635124
boom,1,0,1,7536,7399,2,-0.018792923084462152
collegiate,1,0,0,7537,3460,1,0.6960059100206497
holiday,4,0,2,12028,10811,6,0.3865751984000437
quotient,2,0,0,10682,3461,2,0.9323742737979757
superlative,1,0,0,7538,3462,1,0.624838892389917
albeit,3,0,2,11582,10812,5,0.38514051274461075
fully,3,0,5,11583,12370,8,-0.49877332336486385
suggestion,0,0,1,3032,7400,1,-0.5634077077342396
realized,1,0,4,7539,12119,5,-1.1005054719780067
exhilarating,6,0,1,12493,7401,7,1.621915935833422
tremors,3,0,1,11584,7402,4,0.9113076782351247
screaming,1,0,3,7540,11698,4,-0.9123852452307523
chemicals,1,0,0,7541,3463,1,0.4775124825986266
creatures,2,0,0,10683,3464,2,0.998233389789467
bought,1,0,0,7542,3465,1,0.3520063029087829
chomp,3,0,0,11585,3466,3,0.7713668759412492
freaks,5,0,6,12302,12561,11,-0.3523354813221533
rated,2,0,2,10684,10813,4,-0.017681240802553743
snuggle,0,0,1,3033,7403,1,-0.6533898676660197
softener,0,0,1,3034,7404,1,-0.6475259525459734
piffle,0,0,5,3035,12371,5,-0.6396056663118315
befits,0,0,1,3036,7405,1,-0.4806301797858613
threatening,1,0,1,7543,7406,2,-0.020496131970886067
pg,1,0,1,7544,7407,2,-0.014966668731630897
ninety,1,0,1,7545,7408,2,-0.022572162915081805
agreeably,2,0,0,10685,3467,2,0.5112505756603407
hybrids,0,0,1,3037,7409,1,-0.7549101670240456
nudge,0,0,2,3038,10814,2,-0.9554580081273437
hairy,0,0,1,3039,7410,1,-0.4486973721667896
arquette,0,0,1,3040,7411,1,-0.6383174082661773
nominal,0,0,1,3041,7412,1,-0.6763937264328569
affability,0,0,2,3042,10815,2,-0.3489742994235163
escapist,5,0,0,12303,3468,5,0.68530856873189
cheesy,0,0,6,3043,12562,6,-1.3636492086013552
leash,0,0,2,3044,10816,2,-1.0032045377866678
similarly,2,0,1,10686,7413,3,0.4140053116581624
polite,0,0,1,3045,7414,1,-0.7496330794290701
styled,0,0,1,3046,7415,1,-0.7543738225315006
gremlins,0,0,1,3047,7416,1,-0.6468962389804835
acknowledges,2,0,0,10687,3469,2,1.0260561934144656
cheesiness,1,0,0,7546,3470,1,0.2728998379448296
emphatic,1,0,0,7547,3471,1,0.6143210137804737
ripe,2,0,3,10688,11699,5,-0.41172727470386605
declarations,1,0,0,7548,3472,1,0.7136598862606085
motorcycle,0,0,1,3048,7417,1,-0.4902813801625126
cocoon,1,0,1,7549,7418,2,-0.02409204363129
outrun,0,0,1,3049,7419,1,-0.6078409634569144
comprehension,1,0,0,7550,3473,1,0.710467883439618
busy,1,0,4,7551,12120,5,-1.0234394711230645
ribbing,0,0,1,3050,7420,1,-0.5310507648953903
clunky,1,0,3,7552,11700,4,-0.9776953084546911
formulas,2,0,0,10689,3474,2,1.020419317509119
bug,1,0,2,7553,10817,3,-0.3105735374968798
messing,1,0,1,7554,7421,2,-0.024022064254382205
unqualified,0,0,1,3051,7422,1,-0.7299025640400896
recommendation,1,0,1,7555,7423,2,-0.014924169870106528
beaut,1,0,0,7556,3475,1,0.5233005034991957
starship,0,0,1,3052,7424,1,-0.7501793964928279
tarantula,2,0,0,10690,3476,2,0.7759981014457082
conditions,2,0,0,10691,3477,2,0.31785032052790085
sophomoric,1,0,1,7557,7425,2,-0.02543019759537295
partly,2,0,2,10692,10818,4,-0.027362695293837457
hellish,1,0,0,7558,3478,1,0.5784715626960025
trailer,1,0,3,7559,11701,4,-0.7263969431238546
invasion,2,0,0,10693,3479,2,0.9736201958122138
menu,1,0,0,7560,3480,1,0.23866769053320386
include,0,0,3,3053,11702,3,-0.4705271334193015
bothered,0,0,1,3054,7426,1,-0.747902788046002
hispanic,1,0,1,7561,7427,2,-0.017556174836576347
americans,3,0,3,11586,11703,6,-0.03162760076423537
muddled,0,0,1,3055,7428,1,-0.5936710370681909
flava,0,0,1,3056,7429,1,-0.6047159181704268
playas,0,0,1,3057,7430,1,-0.6229096815977919
tarted,0,0,1,3058,7431,1,-0.277012301649326
heartedness,1,0,0,7562,3481,1,0.38255299629099004
focuses,3,0,0,11587,3482,3,1.2233913703174717
empire,4,0,2,12029,10819,6,0.5801879036469065
refined,0,0,1,3059,7432,1,-0.6425986664703007
dramas,2,0,4,10694,12121,6,-0.8195021057617775
heartless,0,0,1,3060,7433,1,-0.6694536601249511
coat,0,0,1,3061,7434,1,-0.5283432253499444
latino,0,0,2,3062,10820,2,-0.9978156512103512
repackaged,0,0,2,3063,10821,2,-0.6745326013938217
carbon,0,0,1,3064,7435,1,-0.4442485926315627
jackets,0,0,1,3065,7436,1,-0.5708440449999087
trod,1,0,0,7563,3483,1,0.5370145752051593
quickie,1,0,1,7564,7437,2,-0.02464530144214233
franc,0,0,1,3066,7438,1,-0.6775137374441011
processor,0,0,2,3067,10822,2,-0.7703265477994771
reyes,0,0,2,3068,10823,2,-1.031934590491184
adds,3,0,3,11588,11704,6,-0.03570611978837177
possessed,0,0,1,3069,7439,1,-0.7414439223301517
undone,0,0,3,3070,11705,3,-1.0386105333190634
sloppy,1,0,5,7565,12372,6,-1.4881142960411213
rehash,0,0,2,3071,10824,2,-0.6740342057912061
internalized,1,0,0,7566,3484,1,0.5761405853814302
intimate,5,0,1,12304,7440,6,1.3617971611030397
rackets,0,0,1,3072,7441,1,-0.6334740502899728
retold,0,0,1,3073,7442,1,-0.5637234970292995
searches,0,0,2,3074,10825,2,-0.5365972070474313
vainly,0,0,1,3075,7443,1,-0.5499948556940487
zest,0,0,1,3076,7444,1,-0.7093631029152959
trusting,1,0,1,7567,7445,2,-0.02402286570461347
carlito,0,0,1,3077,7446,1,-0.5729898166621658
scarface,0,0,1,3078,7447,1,-0.6949365245692192
trenchant,2,0,0,10695,3485,2,0.5273284935108942
bursts,1,0,1,7568,7448,2,-0.02389733946964856
capitalism,1,0,0,7569,3486,1,0.689836010738626
critique,2,0,1,10696,7449,3,0.4709836756865808
gunfire,1,0,1,7570,7450,2,-0.024846618563606454
genres,3,0,2,11589,10826,5,0.346378173449181
radical,0,0,2,3079,10827,2,-0.9835578797615425
personalities,0,0,2,3080,10828,2,-1.0672092822771289
plumbed,0,0,1,3081,7451,1,-0.48923089833213956
describe,1,0,4,7571,12122,5,-0.9493326932315708
thank,0,0,3,3082,11706,3,-0.7469036412084136
shouted,0,0,1,3083,7452,1,-0.7549170393089435
extemporaneously,0,0,1,3084,7453,1,-0.26775264732934195
plugged,0,0,1,3085,7454,1,-0.7533091411639954
jeopardy,0,0,2,3086,10829,2,-1.0197152007039854
prop,0,0,2,3087,10830,2,-1.0611762166989251
treating,0,0,1,3088,7455,1,-0.6276928871726087
disgusting,1,0,3,7572,11707,4,-0.9564679065461686
thrills,4,0,8,12030,12794,12,-1.181103858124438
overstated,0,0,1,3089,7456,1,-0.6542855118242075
flopped,0,0,1,3090,7457,1,-0.5834393335017718
wrapped,2,0,1,10697,7458,3,0.4548368744142646
pounding,0,0,1,3091,7459,1,-0.7548110539620592
lo,3,0,4,11590,12123,7,-0.3352601092898061
tense,3,0,1,11591,7460,4,0.8776502969548345
spousal,0,0,3,3092,11708,3,-1.0234233713393885
desires,1,0,0,7573,3487,1,0.6700467003906542
basest,1,0,0,7574,3488,1,0.3507950616621105
pander,1,0,0,7575,3489,1,0.5088012433894027
jump,0,0,2,3093,10831,2,-0.5986903584193315
inept,0,0,9,3094,12861,9,-1.166935980191926
hilariously,0,0,1,3095,7461,1,-0.557417325613811
libs,0,0,1,3096,7462,1,-0.6439484061382897
mad,1,0,1,7576,7463,2,-0.015346730927402328
junk,0,0,5,3097,12373,5,-1.6810076199739632
wig,0,0,1,3098,7464,1,-0.7499577713578673
costume,0,0,2,3099,10832,2,-0.9407291480225183
lewis,6,0,1,12494,7465,7,1.3714037057288806
minnie,0,0,1,3100,7466,1,-0.7549433745788329
nymphette,0,0,1,3101,7467,1,-0.29215641902468825
mommy,0,0,1,3102,7468,1,-0.730152773386002
incognito,0,0,1,3103,7469,1,-0.6556819790048147
slim,0,0,2,3104,10833,2,-0.960602661419804
sell,0,0,3,3105,11709,3,-0.5352900610929667
juliette,0,0,1,3106,7470,1,-0.713092832762688
crassness,0,0,1,3107,7471,1,
ridiculousness,1,0,2,7577,10834,3,-0.5944582455943772
preposterous,2,0,6,10698,12563,8,-1.385281231033622
battered,1,0,2,7578,10835,3,-0.5727826880539094
resemblance,0,0,2,3108,10836,2,-0.9727265336025851
picked,0,0,3,3109,11710,3,-1.2159639953559096
fighters,0,0,1,3110,7472,1,-0.6261391783720599
lock,0,0,2,3111,10837,2,-0.770733042073137
grossly,0,0,2,3112,10838,2,-0.9260541914039475
sensationalistic,0,0,1,3113,7473,1,-0.327273343635752
unrealistic,0,0,1,3114,7474,1,-0.7509575927495872
pent,1,0,0,7579,3490,1,0.6347046777263751
thinly,0,0,3,3115,11711,3,-1.0139677235830238
feminist,0,0,4,3116,12124,4,-1.4661682035338217
colosseum,0,0,1,3117,7475,1,-0.724390652796303
